row_id,id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,row_num
1,1026,1,Alabama,AL,"Autauga County",Elmore,Autaugaville,Track,Track,36025,334,8020338,60048,32.4473511,-86.4768097,1
527,2027,2,Alaska,AK,"Aleutians East Borough","Eagle River","Akutan city",Track,Track,99577,907,9185110,0,61.3286309,-149.5379974,1
632,4023,4,Arizona,AZ,"Apache County","Fort Defiance",Chinle,Track,Track,86504,928,792172786,627645,35.9506832,-109.1461416,1
1249,5026,5,Arkansas,AR,"Arkansas County",Dewitt,"Stuttgart city",Track,Track,72042,870,133400347,1701960,34.3069023,-91.3895216,1
1589,6029,6,California,CA,"Alameda County",Oakland,"Alameda city",Track,Track,94608,510,420877,0,37.8394912,-122.2802646,1
5395,9029,9,Connecticut,CT,"Fairfield County",Greenwich,Bethel,Track,Track,6830,203,1855241,87317,41.0310969,-73.6143505,1
5750,10022,10,Delaware,DE,"Kent County",Clayton,Camden,Track,Track,19938,302,9731942,35860,39.2908408,-75.6375081,1
2,10216,1,Alabama,AL,"Autauga County",Robertsdale,Autaugaville,Track,Track,36567,251,737211648,3860933,30.7200267,-87.6245437,1
3,10226,1,Alabama,AL,"Autauga County",Silverhill,Autaugaville,Track,Track,36576,251,71113244,190587,30.5345606,-87.7548736,1
4,10236,1,Alabama,AL,"Autauga County","Orange Beach",Autaugaville,Track,Track,36561,251,15491986,20427550,30.3005856,-87.5417985,1
5,10246,1,Alabama,AL,"Autauga County",Louisville,Autaugaville,Track,Track,36048,334,517008078,983621,31.9222753,-85.4498309,1
6,10256,1,Alabama,AL,"Autauga County",Brent,Autaugaville,Track,Track,35034,205,691793540,3983687,32.9533249,-87.0043466,1
7,10266,1,Alabama,AL,"Autauga County",Remlap,Autaugaville,Track,Track,35133,205,203716769,1004680,33.8405764,-86.6350183,1
8,10276,1,Alabama,AL,"Autauga County",Georgiana,Autaugaville,Track,Track,36033,334,352261684,177369,31.7163243,-86.7533225,1
9,10286,1,Alabama,AL,"Autauga County",Anniston,Autaugaville,Track,Track,36207,256,12116269,23502,33.6448084,-85.796557,1
10,10296,1,Alabama,AL,"Autauga County",Jacksonville,Autaugaville,Track,Track,36265,256,41129558,487657,33.7661796,-85.7864612,1
5838,11012,11,"District of Columbia",DC,"District of",Washington,"Washington city",City,place,20001,202,158364992,18633403,38.904103,-77.017229,1
5839,11021,11,"District of Columbia",DC,"District of Columbia",Washington,"Washington city",Track,Track,20007,202,1907610,512798,38.9060174,-77.0601874,1
7563,13023,13,Georgia,GA,"Appling County",Baxley,"Baxley city",Track,Track,31513,912,71802013,165673,31.766842,-82.3719362,1
8381,15021,15,Hawaii,HI,"Hawaii County",Papaikou,Hilo,Track,Track,96781,808,251395429,10656645,19.8228341,-155.1849688,1
8668,17029,17,Illinois,IL,"Adams County",Quincy,"Camp Point",Track,Track,62301,217,1797926,0,39.9155218,-91.3996396,1
10099,18025,18,Indiana,IN,"Adams County",Monroe,"Berne city",Track,Track,46772,260,217350232,336926,40.702854,-84.9342356,1
10803,19025,19,Iowa,IA,"Adair County",Corning,"Greenfield city",Track,Track,50841,641,217392284,496426,40.9482672,-94.8079792,1
528,20217,2,Alaska,AK,"Aleutians East Borough",Anchorage,"Akutan city",Track,Track,99508,907,2494426,0,61.2167015,-149.7927444,1
529,20227,2,Alaska,AK,"Aleutians East Borough",Anchorage,"Akutan city",Track,Track,99508,907,2163759,0,61.2032461,-149.824025,1
530,20237,2,Alaska,AK,"Aleutians East Borough",Anchorage,"Akutan city",Track,Track,99517,907,1612672,0,61.1879482,-149.9226985,1
531,20247,2,Alaska,AK,"Aleutians East Borough",Anchorage,"Akutan city",Track,Track,99507,907,2731183,0,61.1594375,-149.8193627,1
532,20257,2,Alaska,AK,"Aleutians East Borough",Anchorage,"Akutan city",Track,Track,99516,907,85707800,11963944,61.0532891,-149.7028074,1
533,20267,2,Alaska,AK,"Aleutians East Borough",Fairbanks,"Akutan city",Track,Track,99701,907,4544912,92072,64.8328149,-147.7589866,1
534,20277,2,Alaska,AK,"Aleutians East Borough",Fairbanks,"Akutan city",Track,Track,99701,907,63667440,659397,64.8899711,-147.5765503,1
11638,21029,21,Kentucky,KY,"Adair County",Scottsville,"Columbia city",Track,Track,42164,270,146615136,910948,36.7747795,-86.3386507,1
12135,22029,22,Louisiana,LA,"Acadia Parish",Crowley,"Crowley city",Track,Track,70526,337,14499766,32281,30.2176279,-92.4030196,1
12646,23025,23,Maine,ME,"Androscoggin County",Auburn,"Auburn city",Track,Track,4210,207,778737,92987,44.0847939,-70.2233946,1
12803,24027,24,Maryland,MD,"Allegany County",Cumberland,"Little Orleans",Track,Track,21502,301,1844979,0,39.6329587,-78.7526552,1
14059,26021,26,Michigan,MI,"Alcona County",Ossineke,"Hubbard Lake",Track,Track,49766,989,131526519,36715247,44.7999576,-83.4969141,1
15233,27023,27,Minnesota,MN,"Aitkin County",Aitkin,"Aitkin city",Track,Track,56431,218,86586091,8364848,46.5364479,-93.7605741,1
15874,28025,28,Mississippi,MS,"Adams County",Natchez,Cloverdale,Track,Track,39120,601,20287756,45183,31.5788205,-91.3193442,1
16195,29024,29,Missouri,MO,"Adair County",Kirksville,"Kirksville city",Track,Track,63501,660,19673132,29331,40.2187946,-92.5581534,1
16895,30027,30,Montana,MT,"Beaverhead County",Hardin,Wisdom,Track,Track,59034,406,1510103881,3621182,45.6264647,-107.2938916,1
17043,31027,31,Nebraska,NE,"Adams County",Hastings,Ayr,Track,Track,68901,402,39619115,41134,40.5600896,-98.4097258,1
17318,32027,32,Nevada,NV,"Churchill County",Fallon,"Fallon city",Track,Track,89406,775,1004235573,24862868,39.3125272,-118.8960291,1
17583,33022,33,"New Hampshire",NH,"Belknap County",Meredith,Alton,Track,Track,3253,603,35505338,27769408,43.6557882,-71.4426578,1
17714,34025,34,"New Jersey",NJ,"Atlantic County","Atlantic City","Absecon city",Track,Track,8401,609,267914,85561,39.3573721,-74.4481225,1
18602,35025,35,"New Mexico",NM,"Bernalillo County",Albuquerque,"Albuquerque city",Track,Track,87111,505,1340724,0,35.1198043,-106.5065506,1
18842,36024,36,"New York",NY,"Albany County",Albany,"Albany city",Track,Track,12203,518,9017989,134152,42.7025078,-73.8667531,1
21002,37024,37,"North Carolina",NC,"Alamance County",Burlington,Alamance,Track,Track,27217,336,11558149,306966,36.1207861,-79.4322349,1
